granularity,w_load_days,h_horizon_days,w_months_equiv,h_months_equiv,n_decision_points,n_positive_targets,roc_auc,youden_threshold,sensitivity,specificity,PPV,NPV,TP,FN,FP,TN
daily,60,180,2.0,6.0,31906,7522,0.7060419303289529,0.5131777420639991,0.7091199149162457,0.6200787401574803,0.3653925195232224,0.8735844696094291,5334,2188,9264,15120
weekly,60,180,2.0,6.0,4615,1082,0.7065113037727725,0.5089694982351258,0.7162661737523105,0.6164732521936032,0.36384976525821594,0.8764587525150905,775,307,1355,2178
biweekly,60,180,2.0,6.0,2340,546,0.7054814379229095,0.5053910121321677,0.7234432234432234,0.6137123745819398,0.3630514705882353,0.8793929712460063,395,151,693,1101
monthly_sample,60,180,2.0,6.0,1125,263,0.7052570289273332,0.5061860266141593,0.7186311787072244,0.6125290023201856,0.361376673040153,0.8770764119601329,189,74,334,528
weekly_collapsed,60,180,2.0,6.0,4024,972,0.7172406679287414,0.4761205878522661,0.7479423868312757,0.6009174311926605,0.3737789203084833,0.8821548821548821,727,245,1218,1834
biweekly_collapsed,60,180,2.0,6.0,2108,507,0.7043317354661227,0.5313536338508129,0.6903353057199211,0.6452217364147408,0.3812636165577342,0.8680672268907563,350,157,568,1033
monthly_collapsed,60,180,2.0,6.0,1011,242,0.7128340981633333,0.9268385614268472,0.756198347107438,0.5903771131339401,0.3674698795180723,0.884990253411306,183,59,315,454
daily,90,90,3.0,3.0,38724,4186,0.6716121059538014,0.39596933358245423,0.8141423793597706,0.46340262898836065,0.15532564605077254,0.9536435678960853,3408,778,18533,16005
weekly,90,90,3.0,3.0,5596,600,0.6719065252201761,0.3943070787522528,0.82,0.46176941553242595,0.15466834328827414,0.9552795031055901,492,108,2689,2307
biweekly,90,90,3.0,3.0,2828,302,0.6708601406301615,0.39596933358245423,0.8245033112582781,0.46199524940617576,0.15485074626865672,0.9565573770491803,249,53,1359,1167
monthly_sample,90,90,3.0,3.0,1360,145,0.6684092521640415,0.3961881497047014,0.8344827586206897,0.46502057613168724,0.1569390402075227,0.9592529711375212,121,24,650,565
weekly_collapsed,90,90,3.0,3.0,4394,508,0.6968068292801537,0.49168460414959836,0.7578740157480315,0.5751415337107566,0.18909626719056974,0.9478371501272265,385,123,1651,2235
biweekly_collapsed,90,90,3.0,3.0,2334,246,0.6796191165934647,0.4354666055490573,0.7845528455284553,0.5114942528735632,0.15910964550700743,0.9527207850133809,193,53,1020,1068
monthly_collapsed,90,90,3.0,3.0,1087,125,0.6918752598752599,1.2845793417654907,0.808,0.5166320166320166,0.1784452296819788,0.9539347408829175,101,24,465,497
daily,90,120,3.0,4.0,36279,5432,0.6859662502178909,0.5688153982162476,0.6439617083946981,0.6467403637306707,0.2430010420284821,0.911624931456772,3498,1934,10897,19950
weekly,90,120,3.0,4.0,5231,778,0.6860788804174073,0.5689664358273149,0.6478149100257069,0.6465304289243207,0.24254090471607315,0.9130986362194735,504,274,1574,2879
biweekly,90,120,3.0,4.0,2649,391,0.6833401670445974,0.5385135958592097,0.6777493606138107,0.6142604074402126,0.23327464788732394,0.9167217448777264,265,126,871,1387
monthly_sample,90,120,3.0,4.0,1277,187,0.6814158857871757,0.3903514103543374,0.8288770053475936,0.4761467889908257,0.21349862258953167,0.941923774954628,155,32,571,519
weekly_collapsed,90,120,3.0,4.0,4115,634,0.7073930856737385,0.49168460414959836,0.750788643533123,0.5912094225797184,0.2506582411795682,0.9287003610108303,476,158,1423,2058
biweekly_collapsed,90,120,3.0,4.0,2118,346,0.6972184527459909,0.5123277542491754,0.7138728323699421,0.6032731376975169,0.26,0.9152397260273972,247,99,703,1069
monthly_collapsed,90,120,3.0,4.0,1015,159,0.7042114853347439,1.6107623935677098,0.7044025157232704,0.6261682242990654,0.25925925925925924,0.9193825042881647,112,47,320,536
