,gene_ID,gene_name
18468,ENSG00000233645.1,RP11-431K24.4
18472,ENSG00000251977.1,RNU6-991P
18475,ENSG00000162426.16,SLC45A1
18529,ENSG00000252254.1,Y_RNA
18532,ENSG00000142599.19,RERE
18909,ENSG00000232912.6,RERE-AS1
18924,ENSG00000221083.1,ENSG10010135148.1
18927,ENSG00000270282.1,RP5-1115A15.2
18930,ENSG00000234619.1,RPL7P11
18933,ENSG00000224315.2,RPL7P7
18936,ENSG00000222511.2,Y_RNA
18939,ENSG00000226545.1,RP4-633I8.3
18943,ENSG00000228423.2,RP4-633I8.4
18947,ENSG00000229716.2,RPL23AP19
18950,ENSG00000074800.16,ENO1
19191,ENSG00000274258.1,MIR6728
19194,ENSG00000230679.1,ENO1-AS1
19198,ENSG00000201725.1,RNU6-304P
19201,ENSG00000238249.2,HMGN2P17
19204,ENSG00000232208.2,RP3-477M7.5
19207,ENSG00000232663.2,RP3-477M7.6
19210,ENSG00000131686.15,CA6
19303,ENSG00000265141.2,RN7SL451P
19306,ENSG00000197241.4,SLC2A7
19336,ENSG00000142583.18,SLC2A5
19492,ENSG00000252404.1,ENSG10010139882.1
19495,ENSG00000180758.12,GPR157
19517,ENSG00000228526.7,MIR34AHG
19529,ENSG00000284357.1,MIR34A
19532,ENSG00000234546.4,LNCTAM34A
19558,ENSG00000049239.13,H6PD
19592,ENSG00000171621.14,SPSB1
19631,ENSG00000284652.1,CTD-2510L9.2
19634,ENSG00000284693.1,LINC02606
19644,ENSG00000252956.1,RNA5SP40
19647,ENSG00000235263.1,RP13-392I16.1
19651,ENSG00000171612.7,SLC25A33
19671,ENSG00000231181.1,RP13-15M17.1
19674,ENSG00000188807.13,TMEM201
19756,ENSG00000171608.16,PIK3CD
20033,ENSG00000179840.5,PIK3CD-AS1
20037,ENSG00000233268.3,RP11-558F24.2
20041,ENSG00000231789.2,PIK3CD-AS2
20046,ENSG00000171603.18,CLSTN1
20211,ENSG00000271264.1,MZT1P1
20215,ENSG00000280113.2,RP11-84A14.7
20220,ENSG00000178585.15,CTNNBIP1
20283,ENSG00000223989.1,RP11-84A14.5
20288,ENSG00000285701.1,RP11-84A14.8
20293,ENSG00000162441.12,LZIC
20371,ENSG00000228150.1,RP11-84A14.4
20375,ENSG00000173614.14,NMNAT1
20433,ENSG00000202415.1,RN7SKP269
20436,ENSG00000283611.2,TMEM274P
20443,ENSG00000265521.1,MIR5697
20446,ENSG00000241326.1,RP11-807G9.2
20450,ENSG00000162444.12,RBP7
20479,ENSG00000130939.20,UBE4B
20723,ENSG00000224340.1,RP11-496H15.2
20726,ENSG00000233623.2,PGAM1P11
20730,ENSG00000201746.1,RNU6-828P
20733,ENSG00000054523.19,KIF1B
21486,ENSG00000264881.1,ENSG00000264881
21489,ENSG00000199562.1,RNU6-37P
21492,ENSG00000264501.2,RN7SL731P
21495,ENSG00000284735.1,RP4-736L20.4
21505,ENSG00000284642.1,RP4-736L20.5
21518,ENSG00000142657.21,PGD
21639,ENSG00000271989.1,RP4-736L20.3
21642,ENSG00000251503.8,CENPS-CORT
21712,ENSG00000175279.22,CENPS
21761,ENSG00000241563.4,CORT
21771,ENSG00000160049.12,DFFA
21819,ENSG00000203469.2,RP5-1113E3.3
21823,ENSG00000142655.13,PEX14
21870,ENSG00000287727.1,RP4-734G22.4
21874,ENSG00000243267.3,RN7SL614P
21877,ENSG00000130940.15,CASZ1
21997,ENSG00000272078.1,RP4-734G22.3
22001,ENSG00000225158.2,HSPE1P24
