steps_0_1,steps_2_3,steps_4_5,steps_6_7,steps_8_9,steps_10_11,steps_12_13,steps_14_15,steps_16_17,steps_18_19,steps_20_21,steps_22_23,steps_24_25,steps_26_27,steps_28_29,steps_30_31,steps_32_33,steps_34_35,steps_36_37,steps_38_39,steps_40_41,steps_42_43,steps_44_45,steps_46_47
77.71428571428571,76.57142857142857,75.14285714285714,74.28571428571429,73.71428571428571,73.42857142857143,74.28571428571429,74.57142857142857,76.28571428571429,78.0,78.85714285714286,79.14285714285715,79.42857142857143,78.0,79.14285714285715,78.85714285714286,77.14285714285715,78.0,78.85714285714286,79.71428571428572,77.71428571428571,78.0,75.71428571428571,73.14285714285714
78.85714285714286,76.28571428571429,75.42857142857143,75.71428571428571,75.42857142857143,75.14285714285714,74.57142857142857,75.14285714285714,78.0,79.42857142857143,79.71428571428572,80.57142857142857,80.57142857142857,80.0,79.71428571428572,80.85714285714286,78.57142857142857,77.71428571428571,78.57142857142857,79.14285714285715,77.42857142857143,77.14285714285715,75.14285714285714,71.14285714285714
76.85714285714286,75.42857142857143,75.71428571428571,74.85714285714286,75.42857142857143,74.57142857142857,74.57142857142857,75.14285714285714,76.0,78.0,79.14285714285715,79.14285714285715,76.85714285714286,78.28571428571428,77.71428571428571,76.57142857142857,76.85714285714286,76.85714285714286,78.0,76.85714285714286,77.14285714285715,77.14285714285715,74.57142857142857,70.28571428571428
76.0,75.14285714285714,75.14285714285714,74.85714285714286,75.14285714285714,74.57142857142857,75.14285714285714,76.0,77.14285714285715,78.28571428571428,78.28571428571428,79.14285714285715,78.57142857142857,78.0,78.85714285714286,78.0,77.42857142857143,76.28571428571429,76.85714285714286,77.42857142857143,76.57142857142857,76.85714285714286,74.0,70.85714285714285
76.28571428571429,76.0,75.14285714285714,75.14285714285714,75.42857142857143,75.42857142857143,75.42857142857143,76.28571428571429,77.42857142857143,79.14285714285715,79.14285714285715,78.57142857142857,78.28571428571428,78.57142857142857,78.57142857142857,77.71428571428571,77.71428571428571,77.71428571428571,77.71428571428571,77.42857142857143,78.0,77.71428571428571,74.57142857142857,72.28571428571429
77.71428571428571,76.57142857142857,75.42857142857143,75.42857142857143,75.42857142857143,76.0,75.14285714285714,78.0,78.85714285714286,81.14285714285714,82.0,81.71428571428572,81.14285714285714,81.42857142857143,81.14285714285714,81.71428571428572,80.0,78.57142857142857,80.28571428571428,77.71428571428571,77.71428571428571,76.85714285714286,77.42857142857143,73.14285714285714
76.85714285714286,76.28571428571429,75.14285714285714,76.0,76.0,74.28571428571429,74.85714285714286,74.85714285714286,75.42857142857143,78.57142857142857,78.57142857142857,78.85714285714286,80.57142857142857,79.71428571428572,78.57142857142857,79.42857142857143,78.28571428571428,76.57142857142857,77.14285714285715,77.42857142857143,78.0,77.14285714285715,77.14285714285715,73.14285714285714
76.28571428571429,74.57142857142857,73.14285714285714,74.0,73.71428571428571,73.14285714285714,74.0,74.0,73.42857142857143,76.0,79.42857142857143,79.14285714285715,79.71428571428572,78.0,76.57142857142857,76.85714285714286,76.28571428571429,76.85714285714286,77.42857142857143,76.57142857142857,76.28571428571429,74.85714285714286,74.57142857142857,69.14285714285714
74.28571428571429,74.28571428571429,72.85714285714285,72.28571428571429,72.57142857142857,72.28571428571429,72.57142857142857,73.71428571428571,74.28571428571429,76.57142857142857,76.57142857142857,77.14285714285715,77.71428571428571,77.71428571428571,77.14285714285715,78.0,75.14285714285714,74.57142857142857,76.57142857142857,76.57142857142857,76.0,76.28571428571429,72.85714285714285,71.14285714285714
73.71428571428571,73.14285714285714,71.71428571428572,72.28571428571429,71.42857142857143,71.71428571428572,73.14285714285714,72.85714285714285,73.71428571428571,76.28571428571429,76.28571428571429,77.71428571428571,77.71428571428571,78.57142857142857,77.42857142857143,76.0,77.71428571428571,77.14285714285715,76.0,77.42857142857143,77.14285714285715,76.0,73.71428571428571,71.14285714285714
75.14285714285714,74.57142857142857,74.85714285714286,74.28571428571429,74.57142857142857,74.28571428571429,74.57142857142857,75.42857142857143,76.0,78.28571428571428,77.42857142857143,79.42857142857143,78.28571428571428,77.71428571428571,76.85714285714286,76.28571428571429,76.28571428571429,76.85714285714286,76.85714285714286,77.42857142857143,77.42857142857143,76.28571428571429,75.14285714285714,72.0
74.28571428571429,73.42857142857143,73.71428571428571,73.14285714285714,72.85714285714285,73.71428571428571,73.71428571428571,75.14285714285714,74.57142857142857,75.71428571428571,76.28571428571429,76.57142857142857,76.85714285714286,76.0,77.42857142857143,77.42857142857143,76.57142857142857,76.0,75.71428571428571,75.14285714285714,74.85714285714286,74.28571428571429,72.28571428571429,69.14285714285714
74.85714285714286,74.28571428571429,74.85714285714286,74.28571428571429,73.14285714285714,73.42857142857143,73.14285714285714,74.57142857142857,76.28571428571429,79.14285714285715,78.57142857142857,77.71428571428571,79.42857142857143,79.42857142857143,78.85714285714286,78.28571428571428,78.28571428571428,76.85714285714286,79.14285714285715,77.71428571428571,76.28571428571429,78.0,76.0,71.71428571428572
73.42857142857143,72.85714285714285,72.28571428571429,72.28571428571429,72.28571428571429,72.85714285714285,73.42857142857143,75.14285714285714,73.71428571428571,74.85714285714286,76.85714285714286,78.28571428571428,78.28571428571428,77.42857142857143,78.0,76.28571428571429,74.57142857142857,75.42857142857143,75.42857142857143,74.85714285714286,74.0,74.28571428571429,73.42857142857143,68.85714285714286
74.85714285714286,74.28571428571429,72.57142857142857,72.0,72.28571428571429,72.28571428571429,72.28571428571429,72.85714285714285,74.85714285714286,76.28571428571429,78.57142857142857,78.28571428571428,78.0,78.0,76.85714285714286,78.0,76.57142857142857,76.0,74.0,75.14285714285714,74.57142857142857,73.14285714285714,72.0,71.14285714285714
75.14285714285714,74.0,72.85714285714285,72.0,72.28571428571429,71.71428571428572,70.85714285714285,72.57142857142857,72.85714285714285,72.85714285714285,75.42857142857143,75.71428571428571,76.28571428571429,76.28571428571429,75.71428571428571,76.0,74.57142857142857,74.85714285714286,76.0,74.57142857142857,74.0,72.57142857142857,71.71428571428572,70.28571428571428
72.57142857142857,70.57142857142857,69.42857142857143,70.0,70.57142857142857,70.28571428571428,70.0,70.28571428571428,71.42857142857143,72.57142857142857,75.42857142857143,74.28571428571429,72.85714285714285,73.14285714285714,72.57142857142857,71.14285714285714,70.85714285714285,70.28571428571428,70.85714285714285,70.85714285714285,71.71428571428572,71.14285714285714,69.14285714285714,67.42857142857143
72.28571428571429,71.14285714285714,70.57142857142857,70.28571428571428,69.42857142857143,69.42857142857143,70.28571428571428,70.57142857142857,69.71428571428572,71.71428571428572,74.85714285714286,74.0,73.71428571428571,73.14285714285714,72.57142857142857,72.85714285714285,72.0,72.28571428571429,72.28571428571429,74.0,72.28571428571429,72.85714285714285,71.14285714285714,68.57142857142857
75.14285714285714,73.71428571428571,73.42857142857143,72.85714285714285,73.14285714285714,72.57142857142857,72.85714285714285,74.57142857142857,74.28571428571429,75.71428571428571,76.28571428571429,76.28571428571429,75.14285714285714,75.71428571428571,74.85714285714286,74.85714285714286,76.28571428571429,75.42857142857143,76.0,76.28571428571429,75.71428571428571,76.28571428571429,74.28571428571429,71.71428571428572
74.85714285714286,73.14285714285714,72.0,71.71428571428572,73.42857142857143,72.57142857142857,72.0,73.42857142857143,74.57142857142857,76.57142857142857,76.57142857142857,76.85714285714286,77.42857142857143,76.85714285714286,77.14285714285715,76.57142857142857,76.57142857142857,76.28571428571429,76.57142857142857,76.57142857142857,76.28571428571429,75.71428571428571,74.0,72.85714285714285
74.0,75.71428571428571,74.28571428571429,72.85714285714285,73.42857142857143,72.57142857142857,72.28571428571429,72.57142857142857,73.14285714285714,74.57142857142857,76.85714285714286,75.71428571428571,76.28571428571429,76.28571428571429,76.28571428571429,75.42857142857143,75.14285714285714,74.0,76.57142857142857,76.28571428571429,74.57142857142857,74.0,72.85714285714285,72.0
74.28571428571429,74.85714285714286,72.85714285714285,72.28571428571429,73.14285714285714,72.28571428571429,72.85714285714285,73.14285714285714,74.0,75.71428571428571,77.42857142857143,76.57142857142857,76.85714285714286,76.28571428571429,76.57142857142857,76.0,75.42857142857143,73.71428571428571,72.57142857142857,75.14285714285714,74.85714285714286,75.71428571428571,74.57142857142857,72.28571428571429
73.14285714285714,72.85714285714285,72.85714285714285,72.0,71.42857142857143,72.0,72.28571428571429,72.0,74.28571428571429,75.14285714285714,75.14285714285714,75.14285714285714,74.85714285714286,75.14285714285714,74.28571428571429,74.28571428571429,72.85714285714285,72.85714285714285,75.14285714285714,73.14285714285714,72.28571428571429,74.0,72.85714285714285,70.0
72.85714285714285,70.85714285714285,71.14285714285714,71.14285714285714,71.42857142857143,71.42857142857143,71.71428571428572,71.42857142857143,72.57142857142857,73.71428571428571,74.28571428571429,73.71428571428571,74.28571428571429,73.42857142857143,74.0,73.71428571428571,72.57142857142857,73.14285714285714,73.14285714285714,72.28571428571429,73.14285714285714,72.85714285714285,72.0,70.57142857142857
73.42857142857143,72.57142857142857,72.85714285714285,71.71428571428572,72.0,71.42857142857143,71.42857142857143,72.0,73.42857142857143,75.14285714285714,74.28571428571429,74.0,74.57142857142857,74.57142857142857,74.28571428571429,72.57142857142857,73.42857142857143,72.28571428571429,72.85714285714285,72.85714285714285,72.0,72.28571428571429,70.28571428571428,68.28571428571428
73.14285714285714,71.71428571428572,70.85714285714285,71.14285714285714,72.28571428571429,71.14285714285714,71.71428571428572,73.42857142857143,74.28571428571429,74.57142857142857,75.71428571428571,76.57142857142857,76.28571428571429,75.42857142857143,74.57142857142857,75.14285714285714,72.28571428571429,72.28571428571429,70.85714285714285,70.85714285714285,72.0,73.14285714285714,71.42857142857143,68.0
73.42857142857143,72.57142857142857,70.57142857142857,70.57142857142857,70.85714285714285,71.42857142857143,71.14285714285714,72.57142857142857,74.28571428571429,74.0,75.14285714285714,75.42857142857143,75.42857142857143,74.85714285714286,76.0,74.85714285714286,72.28571428571429,72.57142857142857,75.71428571428571,74.28571428571429,74.28571428571429,72.85714285714285,72.85714285714285,70.28571428571428
73.71428571428571,72.85714285714285,71.14285714285714,71.14285714285714,71.71428571428572,71.71428571428572,72.0,72.0,74.28571428571429,74.0,74.57142857142857,75.14285714285714,75.42857142857143,74.0,73.71428571428571,74.0,72.28571428571429,72.0,72.0,71.71428571428572,73.42857142857143,72.85714285714285,71.42857142857143,70.28571428571428
73.71428571428571,72.28571428571429,72.28571428571429,72.0,71.71428571428572,72.85714285714285,72.28571428571429,72.57142857142857,72.57142857142857,74.57142857142857,74.85714285714286,74.0,75.71428571428571,74.57142857142857,75.71428571428571,75.42857142857143,74.57142857142857,73.71428571428571,74.57142857142857,72.57142857142857,73.71428571428571,72.57142857142857,73.14285714285714,70.85714285714285
72.85714285714285,71.71428571428572,71.71428571428572,71.14285714285714,71.14285714285714,71.42857142857143,72.0,71.71428571428572,72.57142857142857,75.14285714285714,75.42857142857143,75.71428571428571,74.57142857142857,75.42857142857143,75.14285714285714,74.28571428571429,74.28571428571429,73.42857142857143,73.42857142857143,74.85714285714286,74.57142857142857,74.57142857142857,73.42857142857143,69.14285714285714
72.0,70.0,69.42857142857143,69.14285714285714,68.85714285714286,69.14285714285714,68.85714285714286,69.71428571428572,70.85714285714285,72.57142857142857,73.14285714285714,74.0,72.85714285714285,72.85714285714285,72.28571428571429,73.14285714285714,71.71428571428572,72.57142857142857,72.0,72.0,72.28571428571429,71.42857142857143,70.85714285714285,67.42857142857143
73.71428571428571,72.28571428571429,72.28571428571429,71.71428571428572,72.0,71.71428571428572,72.57142857142857,74.0,74.57142857142857,74.0,75.71428571428571,75.71428571428571,75.14285714285714,74.0,75.14285714285714,73.14285714285714,72.57142857142857,72.28571428571429,73.42857142857143,73.71428571428571,74.28571428571429,73.42857142857143,73.14285714285714,70.28571428571428
